Performing system checks...

System check identified no issues (0 silenced).
March 29, 2015 - 12:52:12
[14/Apr/2015 11:25:56] "GET /step HTTP/1.1" 200 2064
[14/Apr/2015 11:25:57] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2761
[14/Apr/2015 11:25:57] "GET /media/etape/step2.png HTTP/1.1" 200 39152
[14/Apr/2015 11:25:57] "GET /media/etape/step1.png HTTP/1.1" 200 12593
[14/Apr/2015 11:26:03] "GET /experiance HTTP/1.1" 200 2931
[14/Apr/2015 11:26:03] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2761
[14/Apr/2015 11:26:04] "GET /media/unknown.png HTTP/1.1" 200 10977
[14/Apr/2015 11:26:05] "GET /a_propos HTTP/1.1" 200 1419
[14/Apr/2015 11:26:06] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2761
[14/Apr/2015 15:37:05] "GET /experiance HTTP/1.1" 200 2931
[14/Apr/2015 16:21:56] "GET / HTTP/1.1" 200 1847
[14/Apr/2015 16:21:57] "GET /static/css/elab.css HTTP/1.1" 304 0
[14/Apr/2015 16:21:57] "GET /static/jquery.min.js HTTP/1.1" 304 0
[14/Apr/2015 16:21:57] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[14/Apr/2015 16:21:57] "GET /static/css/images/bg.gif HTTP/1.1" 304 0
[14/Apr/2015 16:21:57] "GET /static/css/images/bg_b_nav.gif HTTP/1.1" 304 0
[14/Apr/2015 16:21:58] "GET /static/css/images/bg_nav.gif HTTP/1.1" 304 0
[14/Apr/2015 16:21:59] "GET /experiance HTTP/1.1" 200 2931
[14/Apr/2015 16:21:59] "GET /static/css/images/network_s.png HTTP/1.1" 304 0
[14/Apr/2015 16:21:59] "GET /media/unknown.png HTTP/1.1" 304 0
[14/Apr/2015 16:21:59] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[14/Apr/2015 16:22:26] "POST /experiance HTTP/1.1" 200 11065
[14/Apr/2015 16:22:26] "GET /media/tmp/nozjqhzyvspkdz9l7dto35ityn8e9g1y/moy.jpg HTTP/1.1" 200 2589
[14/Apr/2015 16:22:26] "GET /media/tmp/nozjqhzyvspkdz9l7dto35ityn8e9g1y/eigenface0.jpg HTTP/1.1" 200 476
[14/Apr/2015 16:22:26] "GET /media/tmp/nozjqhzyvspkdz9l7dto35ityn8e9g1y/eigenface1.jpg HTTP/1.1" 200 3418
[14/Apr/2015 16:22:26] "GET /media/tmp/nozjqhzyvspkdz9l7dto35ityn8e9g1y/eigenface2.jpg HTTP/1.1" 200 2943
[14/Apr/2015 16:22:26] "GET /media/tmp/nozjqhzyvspkdz9l7dto35ityn8e9g1y/eigenface3.jpg HTTP/1.1" 200 4810
[14/Apr/2015 16:22:26] "GET /media/tmp/nozjqhzyvspkdz9l7dto35ityn8e9g1y/photo.jpg HTTP/1.1" 200 5205
[14/Apr/2015 16:22:26] "GET /media/tmp/nozjqhzyvspkdz9l7dto35ityn8e9g1y/dist.png HTTP/1.1" 200 24662
[14/Apr/2015 16:22:26] "GET /media/tmp/nozjqhzyvspkdz9l7dto35ityn8e9g1y/reco.jpg HTTP/1.1" 200 4381
[14/Apr/2015 16:22:26] "GET /media/Database/BBAFaces/happy/s01.jpg.jpg HTTP/1.1" 304 0
[14/Apr/2015 16:22:27] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[14/Apr/2015 16:22:27] "GET /media/Database/BBAFaces/bottomlight/s06.jpg.jpg HTTP/1.1" 304 0
[14/Apr/2015 16:22:27] "GET /media/Database/BBAFaces/glasses/s07.jpg.jpg HTTP/1.1" 304 0
[14/Apr/2015 16:22:29] "GET /media/DownLoad_green.png HTTP/1.1" 304 0
[14/Apr/2015 16:32:27] "GET /experiance HTTP/1.1" 200 2931
[14/Apr/2015 17:33:09] "GET /step HTTP/1.1" 200 2064
[14/Apr/2015 18:28:59] "GET /robots.txt HTTP/1.1" 404 2696
[14/Apr/2015 18:29:00] "GET /a_propos HTTP/1.1" 200 1419
[14/Apr/2015 19:33:55] "GET /a_propos HTTP/1.1" 200 1419
[14/Apr/2015 23:35:49] "GET /step HTTP/1.1" 200 2064
[15/Apr/2015 01:23:39] "GET /a_propos HTTP/1.1" 200 1419
[15/Apr/2015 02:21:03] "GET /a_propos HTTP/1.1" 200 1419
[15/Apr/2015 02:43:02] "GET /experiance HTTP/1.1" 200 2931
[15/Apr/2015 02:47:55] "GET /step HTTP/1.1" 200 2064
[15/Apr/2015 03:17:24] "GET /a_propos HTTP/1.1" 200 1419
[15/Apr/2015 04:18:42] "GET /step HTTP/1.1" 200 2064
[15/Apr/2015 05:23:03] "GET /step HTTP/1.1" 200 2064
[15/Apr/2015 06:39:59] "GET /robots.txt HTTP/1.1" 404 2696
[15/Apr/2015 06:39:59] "GET / HTTP/1.1" 200 1847
[15/Apr/2015 07:12:42] "GET /a_propos HTTP/1.1" 200 1419
[15/Apr/2015 08:18:34] "GET /experiance HTTP/1.1" 200 2931
[15/Apr/2015 09:10:07] "GET /step HTTP/1.1" 200 2064
[15/Apr/2015 10:12:48] "GET /step HTTP/1.1" 200 2064
[15/Apr/2015 11:11:31] "GET /a_propos HTTP/1.1" 200 1419
[15/Apr/2015 11:14:52] "GET / HTTP/1.1" 200 1847
[15/Apr/2015 11:14:52] "GET /static/css/elab.css HTTP/1.1" 304 0
[15/Apr/2015 11:14:53] "GET /static/jquery.min.js HTTP/1.1" 304 0
[15/Apr/2015 11:14:53] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[15/Apr/2015 11:14:53] "GET /static/css/images/bg.gif HTTP/1.1" 304 0
[15/Apr/2015 11:14:53] "GET /static/css/images/bg_b_nav.gif HTTP/1.1" 304 0
[15/Apr/2015 11:14:53] "GET /static/css/images/network_s.png HTTP/1.1" 304 0
[15/Apr/2015 11:14:53] "GET /favicon.ico HTTP/1.1" 404 2699
[15/Apr/2015 11:14:53] "GET /favicon.ico HTTP/1.1" 404 2699
[15/Apr/2015 11:14:53] "GET /static/css/images/bg_nav.gif HTTP/1.1" 304 0
[15/Apr/2015 11:14:54] "GET /step HTTP/1.1" 200 2064
[15/Apr/2015 11:14:54] "GET /media/etape/step1.png HTTP/1.1" 200 12593
[15/Apr/2015 11:14:54] "GET /media/etape/step2.png HTTP/1.1" 200 39152
[15/Apr/2015 11:14:54] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[15/Apr/2015 11:15:02] "GET / HTTP/1.1" 200 1847
[15/Apr/2015 11:15:02] "GET /static/css/elab.css HTTP/1.1" 200 7713
[15/Apr/2015 11:15:02] "GET /static/jquery.min.js HTTP/1.1" 200 95786
[15/Apr/2015 11:15:03] "GET /static/css/images/bg.gif HTTP/1.1" 200 9816
[15/Apr/2015 11:15:03] "GET /static/css/images/bg_b_nav.gif HTTP/1.1" 200 720
[15/Apr/2015 11:15:03] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[15/Apr/2015 11:15:03] "GET /static/css/images/network_s.png HTTP/1.1" 200 169459
[15/Apr/2015 11:15:03] "GET /favicon.ico HTTP/1.1" 404 2699
[15/Apr/2015 11:15:03] "GET /favicon.ico HTTP/1.1" 404 2699
[15/Apr/2015 11:15:07] "GET /static/css/images/bg_nav.gif HTTP/1.1" 200 696
[15/Apr/2015 11:16:34] "GET / HTTP/1.1" 200 1847
[15/Apr/2015 11:16:36] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[15/Apr/2015 12:09:36] "GET /step HTTP/1.1" 200 2064
[15/Apr/2015 13:08:49] "GET /step HTTP/1.1" 200 2064
[15/Apr/2015 13:35:18] "GET /static/css/images/bg_nav.gif HTTP/1.1" 200 696
[15/Apr/2015 14:13:11] "GET /experiance HTTP/1.1" 200 2931
[15/Apr/2015 14:42:34] "GET / HTTP/1.1" 200 1847
[15/Apr/2015 14:42:34] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[15/Apr/2015 14:42:36] "GET /experiance HTTP/1.1" 200 2931
[15/Apr/2015 14:42:36] "GET /media/unknown.png HTTP/1.1" 304 0
[15/Apr/2015 14:42:36] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[15/Apr/2015 14:42:43] "GET /step HTTP/1.1" 200 2064
[15/Apr/2015 14:42:44] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[15/Apr/2015 17:08:45] "GET /a_propos HTTP/1.1" 200 1419
[15/Apr/2015 18:03:08] "GET /step HTTP/1.1" 200 2064
[15/Apr/2015 18:58:47] "GET /robots.txt HTTP/1.1" 404 2696
[15/Apr/2015 18:58:47] "GET /step HTTP/1.1" 200 2064
[15/Apr/2015 20:08:35] "GET /robots.txt HTTP/1.1" 404 2696
[15/Apr/2015 20:08:37] "GET /step HTTP/1.1" 200 2064
[15/Apr/2015 21:10:40] "GET /step HTTP/1.1" 200 2064
[15/Apr/2015 22:02:20] "GET /step HTTP/1.1" 200 2064
[15/Apr/2015 22:55:03] "GET /step HTTP/1.1" 200 2064
[16/Apr/2015 00:22:01] "GET /step HTTP/1.1" 200 2064
[16/Apr/2015 01:15:58] "GET /experiance HTTP/1.1" 200 2931
[16/Apr/2015 02:09:37] "GET /step HTTP/1.1" 200 2064
[16/Apr/2015 03:03:22] "GET /step HTTP/1.1" 200 2064
[16/Apr/2015 03:03:59] "GET /static/css/elab.css HTTP/1.1" 200 7713
[16/Apr/2015 03:04:00] "GET /static/jquery.min.js HTTP/1.1" 200 95786
[16/Apr/2015 04:04:12] "GET /step HTTP/1.1" 200 2064
[16/Apr/2015 05:04:53] "GET /step HTTP/1.1" 200 2064
[16/Apr/2015 05:50:15] "GET /step HTTP/1.1" 200 2064
[16/Apr/2015 07:56:14] "GET /robots.txt HTTP/1.1" 404 2696
[16/Apr/2015 07:56:19] "GET /step HTTP/1.1" 200 2064
[16/Apr/2015 08:38:44] "GET /experiance HTTP/1.1" 200 2931
[16/Apr/2015 09:31:51] "GET /step HTTP/1.1" 200 2064
[16/Apr/2015 10:27:33] "GET /step HTTP/1.1" 200 2064
[16/Apr/2015 11:22:47] "GET /step HTTP/1.1" 200 2064
[16/Apr/2015 11:36:31] "GET / HTTP/1.1" 200 1847
[16/Apr/2015 11:36:31] "GET /static/css/elab.css HTTP/1.1" 200 7713
[16/Apr/2015 11:36:31] "GET /static/jquery.min.js HTTP/1.1" 200 95786
[16/Apr/2015 11:36:31] "GET /static/css/images/bg.gif HTTP/1.1" 200 9816
[16/Apr/2015 11:36:31] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[16/Apr/2015 11:36:31] "GET /static/css/images/bg_b_nav.gif HTTP/1.1" 200 720
[16/Apr/2015 11:36:31] "GET /static/css/images/network_s.png HTTP/1.1" 200 169459
[16/Apr/2015 11:36:33] "GET /favicon.ico HTTP/1.1" 404 2699
[16/Apr/2015 11:38:13] "GET /static/css/images/bg_nav.gif HTTP/1.1" 200 696
[16/Apr/2015 12:36:06] "GET /step HTTP/1.1" 200 2064
[16/Apr/2015 14:33:20] "GET /a_propos HTTP/1.1" 200 1419
[16/Apr/2015 14:43:12] "GET /experiance HTTP/1.1" 200 2931
[17/Apr/2015 01:33:13] "GET /robots.txt HTTP/1.1" 404 2696
[17/Apr/2015 01:33:13] "GET /step HTTP/1.1" 200 2064
[17/Apr/2015 02:21:24] "GET /home HTTP/1.1" 200 1847
[18/Apr/2015 09:40:07] "GET / HTTP/1.1" 200 1847
[18/Apr/2015 09:40:09] "GET /static/css/elab.css HTTP/1.1" 200 7713
[18/Apr/2015 09:40:12] "GET /static/jquery.min.js HTTP/1.1" 200 95786
[18/Apr/2015 09:40:14] "GET /static/css/images/bg.gif HTTP/1.1" 200 9816
[18/Apr/2015 09:40:15] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[18/Apr/2015 09:40:15] "GET /static/css/images/bg_b_nav.gif HTTP/1.1" 200 720
[18/Apr/2015 09:40:16] "GET /static/css/images/network_s.png HTTP/1.1" 200 169459
[18/Apr/2015 09:40:19] "GET /favicon.ico HTTP/1.1" 404 2699
[18/Apr/2015 09:40:20] "GET /favicon.ico HTTP/1.1" 404 2699
[18/Apr/2015 09:40:40] "GET /experiance HTTP/1.1" 200 2931
[18/Apr/2015 09:40:40] "GET /static/css/images/bg_nav.gif HTTP/1.1" 200 696
[18/Apr/2015 09:40:41] "GET /media/unknown.png HTTP/1.1" 200 10977
[18/Apr/2015 09:40:41] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[18/Apr/2015 09:40:45] "GET /a_propos HTTP/1.1" 200 1419
[18/Apr/2015 09:40:46] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[18/Apr/2015 09:40:48] "GET /step HTTP/1.1" 200 2064
[18/Apr/2015 09:40:48] "GET /media/etape/step2.png HTTP/1.1" 200 39152
[18/Apr/2015 09:40:48] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[18/Apr/2015 09:40:48] "GET /media/etape/step1.png HTTP/1.1" 200 12593
[18/Apr/2015 09:58:19] "GET /robots.txt HTTP/1.1" 404 2696
[18/Apr/2015 09:58:20] "GET /experiance HTTP/1.1" 200 2931
[18/Apr/2015 12:48:53] "GET /step HTTP/1.1" 200 2064
[18/Apr/2015 13:47:57] "GET /a_propos HTTP/1.1" 200 1419
[18/Apr/2015 16:44:31] "GET / HTTP/1.1" 200 1847
[19/Apr/2015 10:57:23] "GET / HTTP/1.1" 200 1847
[19/Apr/2015 10:57:23] "GET /static/css/elab.css HTTP/1.1" 200 7713
